Project	Title	Abstract	Sequence Runs
SRP009243	Metagenomic and geochemical characterization of pockmarked sediments overlaying the Troll petroleum reservoir in the North Sea	454 sequenced metagenomes from sediments sampled 5-20 cm bsf. Five samples were taken from the pockmarked sediments overlaying the Troll petroleum (oil and gas) reservoir in the northern North Sea. sediment samples from four pockmark samples and one sample from the Troll plain were sequenced.  Two samples were taken from the outer part of the Oslofjord, Norway. Presence of thermogenic hydrocarbons is this area is unlikely.  The aim of the study was to characterize the taxonomic distribution and metabolic potential of the prokaryote communities inhabiting the Troll sediments, both in general and related to possible thermogenic hydrocarbon degradation. Further, we have investigated whether there was an increased potential for methane oxidation or other microbial processes, supporting seepage in pockmark sediments, or if analyses of the microbial communities would agree with the geological analyses indicating no active hydrocarbon seepage from the pockmarks at the present time. The two Oslofjord sediments were used as references regarding thermogenic hydrocarbon influence.	SRR363457,SRR363458,SRR363459,SRR363460,SRR363461,SRR363462,SRR363463,SRR363464,SRR363465,SRR363466,SRR363497,SRR363498,SRR363499,SRR363500
SRP104893	Estuarine microbial communities from the Columbia River estuary - metaG 1554B-3 metagenome	Sequencing of microbial communities from the Columbia River estuary to analyze effect of nutrient fluxes	SRR5468379
SRP005282	Hydrogen-isotopic variability in fatty acids from Yellowstone National Park hot spring microbial communities	We report the abundances and hydrogen-isotopic compositions (D/H ratios) of fatty acids extracted from hot-spring microbial mats in Yellowstone National Park. The terrestrial hydrothermal environment provides a useful system for studying D/H fractionations because the numerous microbial communities in and around the springs are distinct and separable, and simpler than many other aquatic environments. D/H fractionations between lipids and water ranged from -478Ã¢?Â° to +41Ã¢?Â° and showed systematic variations between different types of microbial communities. Lipids produced by chemoautotrophic hyperthermophilic bacteria, such as icosenoic acid (20:1), generally exhibited the largest and most variable fractionations from water (-478Ã¢?Â° to -165Ã¢?Â°). This was in contrast to lipids characteristic of heterotrophs, such as branched, odd chain-length fatty acids, which had the smallest fractionations (-163Ã¢?Â° to +41Ã¢?Â°). Mats dominated by photoautotrophs exhibited intermediate fractionations similar in magnitude to those expressed by higher plants. These data support the hypothesis that variations in lipid D/H are strongly influenced by central metabolic pathways. Shifts in the isotopic compositions of individual fatty acids across known ecological boundaries show that the isotopic signature of specific metabolisms can be deciphered in modern environmental samples, and potentially recorded in ancient ones. Considering all sampled springs, the total range in D/H ratios is similar to that observed in marine sediments, suggesting that the trends observed here are not exclusive to the hydrothermal environment.	SRR097824,SRR097836
SRP104315	Saline lake microbial communities from Deep Lake, Antarctica, in enrichment culture - Antarctic Deep Lake Metagenome VIRDL14 metagenome	Seasonal variation in Antarctic microbial communities: ecology, stability and susceptibility to ecosystem change	SRR5459252
SRP100119	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - ESP_153SG_22_DNA metagenome	 	SRR5265138
SRP068619	Pediatric MLI metagenome	Metagenome sequencing and gene prediction for pediatric mucosal-luminal interface aspirates	SRR3115957
SRP049645	Human skin bacterial metagenome and Virome Metagenome	Viruses can impact microbiome structure and function through predation and genetic exchange, but little is known of cutaneous viral communities and their interactions with their hosts. To query virus-host interactions of the skin, we performed parallel metagenomic sequencing and an integrated analysis of DNA isolated from virus-like particles (VLPs) and total microbial communities. To assess spatial, interpersonal, and temporal variance, samples were collected from eight anatomical skin sites of 16 healthy individuals over two months. Skin viral communities were dominated by tailed bacteriophages--viruses replicating on human cells were comparatively rare. Similar to the skin whole metagenome, viral community composition and diversity was strongly associated with the microenvironment of the site sampled, and temporal variation within an individual was small compared to differences between individuals. Virome communities were enriched for genes indicative of a temperate phage replication style, indicating that many infections would be non-lethal to the host and provide an opportunity for gene transfer. CRISPR spacers identified in the bacterial DNA sequences provided a record of phage predation. Among these, some spacers targeted phage found at different body sites, suggesting that CRISPR spacer acquisition may provide a mechanism to explain spatial partitioning of skin phage communities. Our findings provide new insight into the skin virome, its interactions with the whole metagenome, and establish a foundation for understanding these dynamics in skin health and disease.	SRR1646957,SRR1646961,SRR1646963,SRR1646964,SRR1646966,SRR1646969,SRR1646970,SRR1646973,SRR1646976,SRR1646977,SRR1646983,SRR1646986,SRR1646990,SRR1646994,SRR1646996,SRR1646997,SRR1646998,SRR1646999,SRR1647001,SRR1647002,SRR1647003,SRR1647004,SRR1647006,SRR1647011,SRR1647019,SRR1647022,SRR1647024,SRR1647026,SRR1647029,SRR1647031,SRR1647032,SRR1647033,SRR1647037,SRR1647039,SRR1647040,SRR1647042,SRR1647045,SRR1647047,SRR1647061,SRR1647071,SRR1647078,SRR1647088,SRR1647089,SRR1647091,SRR1647095,SRR1647102,SRR1647106,SRR1647113,SRR1647114,SRR1647132,SRR1647138,SRR1647139,SRR1647144,SRR1647145,SRR1647148,SRR1647149,SRR1647150,SRR1647153,SRR1647155,SRR1647160,SRR1647167,SRR1647168,SRR1647171,SRR1647174,SRR1647180,SRR1647190,SRR1647195,SRR1647197,SRR1647202,SRR1647204,SRR1647205,SRR1647214,SRR1647216,SRR1647217,SRR1647221,SRR1647222,SRR1647227,SRR1647234,SRR1647236,SRR1647238,SRR1647241,SRR1647242,SRR1647243,SRR1647244,SRR1647245,SRR1647246,SRR1647247,SRR1647248,SRR1647249,SRR1647250,SRR1647251,SRR1647252,SRR1647253,SRR1647254,SRR1647256,SRR1647257,SRR1647258,SRR1647259,SRR1647262,SRR1647263,SRR1647265,SRR1647266,SRR1647267,SRR1647270,SRR1647271,SRR1647272,SRR1647274,SRR1647275,SRR1647277,SRR1647278,SRR1647279,SRR1647280,SRR1647281,SRR1647287,SRR1647289,SRR1647290,SRR1647291,SRR1647293,SRR1647294,SRR1647295,SRR1647296,SRR1647298,SRR1647301,SRR1647305,SRR1647309,SRR1647363,SRR1647401,SRR1647425,SRR1647476,SRR1647477,SRR1647480,SRR1647482,SRR1647497,SRR1647504,SRR1647509,SRR1647513,SRR1647520,SRR1647521,SRR1647522,SRR1647524,SRR1647527,SRR1647528,SRR1647536,SRR1647537,SRR1647538,SRR1647541,SRR1647543,SRR1647552,SRR1647553,SRR1647554,SRR1647557,SRR1647559,SRR1647561,SRR1647569,SRR1647570,SRR1647577,SRR1647581,SRR1647582,SRR1647584,SRR1647586,SRR1647587,SRR1647588,SRR1647590,SRR1647591,SRR1647592,SRR1647593,SRR1647594,SRR1647595,SRR1647596,SRR1647597,SRR1647599,SRR1647600,SRR1647603,SRR1647604,SRR1647606,SRR1647607,SRR1647608,SRR1647609,SRR1647610,SRR1647611,SRR1647612,SRR1647613,SRR1647614,SRR1647615,SRR1647616,SRR1647617,SRR1647618,SRR1647619,SRR1647620,SRR1647621,SRR1647622,SRR1647623,SRR1647624,SRR1647625,SRR1647626,SRR1647627,SRR1647628,SRR1647629,SRR1647630
SRP080370	Freshwater microbial communities from Lake Mendota, WI - 13JUL2012 deep hole epilimnion metagenome	 	SRR3987946
SRP107694	Freshwater sediment microbial communities in response to fracking from Pennsylvania, USA - Straight Creek_MetaG_SC_2013 metagenome	Systems Biology Approach to Fracking for Environmental Monitoring	SRR5581435
SRP111863	Peatland microbial communities from Minnesota, USA, analyzing carbon cycling and trace gas fluxes - June2015DPH_8_40 metagenome	Metagenome sequencing of peatland microbial communities to study carbon cycling and trace gas flux in peatland ecosystems subject to climate change	SRR5824346
SRP080381	Freshwater microbial communities from Lake Mendota, WI - 22OCT2012 deep hole epilimnion metagenome	 	SRR3988160
SRP109216	Root nodule microbial communities of legume samples collected from California, USA - Medicago truncatula BG metagenome	The nodule microbiome from legumes living in diverse environments: What other endophytes live within legume nodules besides the nitrogen-fixing symbiont?	SRR5683559
SRP112163	Peat soil microbial communities from Weissenstadt, Germany - Sb_50d_5_LS metaG metagenome	Targeted metagenomics of a sulfate-reducing rare biosphere member and potentially novel sulfate reducers that impact methane emission from peatlands	SRR5829544
SRP039009	Subway environment and outdoor air Targeted Locus (Loci)	Subway and mass transit has become one of the most crucial mode of transport for commuters in urbanized areas. However, the bacterial community composition of this environment has previously been mostly based on culture-based studies; culture-independent high-throughput sequencing studies investigating air in subways are limited. This project used Illumina MiSeq technology to unravel bacterial diversity and microbial community compositions of subway network in Hong Kong as well as selected outdoor locations in the city. The results will provide valuable information in understanding the routine microbial exposure of a typical commuter.	SRR1300040
